Package,Version,Status,Wave
transform-react-jsx,9.9.0,LIVE,Wave 2
better-styled-components,9.9.0,LIVE,Wave 2
transform-jsbi-to-bigint,9.9.0,LIVE,Wave 2
vitest-globals,9.9.0,LIVE,Wave 2
transform-simplify-comparison-operators,9.9.0,LIVE,Wave 2
transform-minify-booleans,9.9.0,LIVE,Wave 2
transform-property-literals,9.9.0,LIVE,Wave 2
@storylane/uikit,1.18.26,LIVE,Wave 2
@storylane/shared-packages,2.2.0,LIVE,Wave 2
transform-undefined-to-void,9.9.0,LIVE,Wave 2
minify-replace,9.9.0,LIVE,Wave 2
transform-jscript,9.9.0,LIVE,Wave 2
transform-remove-debugger,9.9.0,LIVE,Wave 2
undeclared-variables-check,9.9.0,LIVE,Wave 2
styled-components-a11y,9.9.0,LIVE,Wave 2
todo-plz,9.9.0,LIVE,Wave 2
vue-scoped-css,9.9.0,LIVE,Wave 2
filenames-simple,9.9.0,LIVE,Wave 2
no-type-assertion,9.9.0,LIVE,Wave 2
lit-a11y,9.9.0,LIVE,Wave 2
monorepo-cop,9.9.0,LIVE,Wave 2
proposal-typescript,9.9.0,LIVE,Wave 2
import-newlines,9.9.1,LIVE,Wave 2
require-in-package,9.9.1,LIVE,Wave 2
react-you-might-not-need-an-effect,9.9.1,LIVE,Wave 2
peer-deps-external,6.9.1,LIVE,Wave 2
declaration-block-no-ignored-properties,6.0.0,LIVE,Wave 2
jam3,6.0.0,LIVE,Wave 2
prefer-let,6.0.0,LIVE,Wave 2
syntax-exponentiation-operator,6.0.0,LIVE,Wave 2
syntax-decorators,6.0.0,LIVE,Wave 2
developit,6.0.0,LIVE,Wave 2
minify-mangle-names,6.0.0,LIVE,Wave 2
es6-recommended,6.0.0,LIVE,Wave 2
transform-dev,2.0.1,LIVE,Wave 2
transform-dev-warning,0.1.3,LIVE,Wave 2
ignore-html-and-css-imports,0.1.0,LIVE,Wave 2
typescript-resolvers,5.1.5,LIVE,Wave 2
typescript-rtk-query,3.1.2,LIVE,Wave 2
urql-introspection,3.0.1,LIVE,Wave 2
typescript-type-graphql,3.0.1,LIVE,Wave 2
relay-optimizer-plugin,7.0.27,LIVE,Wave 2
typescript-vue-apollo-smart-ops,3.0.1,LIVE,Wave 2
typescript-react-query,6.1.1,LIVE,Wave 2
typescript-validation-schema,0.18.1,LIVE,Wave 2
typescript-nhost,0.0.3,LIVE,Wave 2
yoshi-base,4.78.0,LIVE,Wave 2
pear-wrk-wdk,0.0.5,LIVE,Wave 2
dazaar-payment,99.10.10,LIVE,Wave 2
dazaar-cli,99.10.10,LIVE,Wave 2
syntax-function-bind,6.13.0,LIVE,Wave 3
syntax-do-expressions,6.13.0,LIVE,Wave 3
syntax-async-generators,6.13.0,LIVE,Wave 3
syntax-class-constructor-call,6.18.0,LIVE,Wave 3
syntax-export-extensions,6.13.0,LIVE,Wave 3
transform-es2015-duplicate-keys,6.24.1,LIVE,Wave 3
transform-export-extensions,6.22.0,LIVE,Wave 3
transform-es2015-spread,6.22.0,LIVE,Wave 3
transform-function-bind,6.22.0,LIVE,Wave 3
transform-proto-to-assign,6.26.0,LIVE,Wave 3
transform-regexp-constructors,0.4.3,LIVE,Wave 3
transform-member-expression-literals,6.9.4,LIVE,Wave 3
add-react-displayname,0.0.6,LIVE,Wave 3
transform-es2015-parameters,6.24.2,LIVE,Wave 3
transform-es2015-shorthand-properties,6.24.2,LIVE,Wave 3
transform-typescript,7.28.6,LIVE,Wave 3
transform-new-target,7.28.1,LIVE,Wave 3
transform-for-of,7.28.1,LIVE,Wave 3
transform-charcodes,7.28.0,LIVE,Wave 3
transform-inline-consecutive-adds,7.28.0,LIVE,Wave 3
transform-json-strings,7.29.0,LIVE,Wave 3
transform-spread,7.29.0,LIVE,Wave 3
transform-dynamic-import,8.0.0,LIVE,Wave 3
transform-modules-systemjs,8.0.0,LIVE,Wave 3
google-camelcase,8.0.0,LIVE,Wave 3
typescript-urql,8.0.0,LIVE,Wave 3
clean-order,8.0.0,LIVE,Wave 3
syntax-trailing-commas,6.13.0,REMOVED,Wave 3
reuse-plugin,6.13.0,REMOVED,Wave 3
babel-compile-templates,6.13.0,REMOVED,Wave 3
jsx-dev-runtime,6.13.0,REMOVED,Wave 3
modules-umd-systemjs,6.13.0,REMOVED,Wave 3
jsx-development,6.13.0,REMOVED,Wave 3
source-generate,6.13.0,REMOVED,Wave 3
sort-export-all,8.0.3,LIVE,Wave 4
filter-imports,8.0.3,LIVE,Wave 4
mui-path-imports,8.0.3,LIVE,Wave 4
import-zod,8.0.6,LIVE,Wave 4
